holdout_year,model,rows,baseline_brier,model_brier,brier_improvement_vs_baseline,brier_improvement_vs_sample_control
2023,Sample only control,4860,0.2082597503768057,0.20810656568010819,0.0001531846966975059,0.0
2023,Top4 xwOBA + sample,4860,0.2082597503768057,0.20782498157514107,0.0004347688016646256,0.0002815841049671197
2023,Top4 K% + sample,4860,0.2082597503768057,0.20828637255373111,-2.662217692542268e-05,-0.00017980687362292858
2023,Top4 BB% + sample,4860,0.2082597503768057,0.20786046945863543,0.0003992809181702639,0.000246096221472758
2023,Top4 Barrel% + sample,4860,0.2082597503768057,0.2079539192369769,0.00030583113982879384,0.00015264644313128795
2023,Top4 xwOBA + K + sample,4860,0.2082597503768057,0.20802207450489696,0.0002376758719087324,8.449117521122651e-05
2023,Top4 xwOBA + K + Barrel + sample,4860,0.2082597503768057,0.20803825164488232,0.00022149873192336966,6.831403522586377e-05
2023,All 4 Top4 skill + sample,4860,0.2082597503768057,0.2080606338807371,0.00019911649606860204,4.593179937109615e-05
2024,Sample only control,4858,0.19941795763419712,0.19928568589431345,0.00013227173988367147,0.0
2024,Top4 xwOBA + sample,4858,0.19941795763419712,0.19904560752880124,0.00037235010539588,0.00024007836551220851
2024,Top4 K% + sample,4858,0.19941795763419712,0.19926492880096652,0.00015302883323059513,2.075709334692366e-05
2024,Top4 BB% + sample,4858,0.19941795763419712,0.19883329859273668,0.0005846590414604336,0.0004523873015767621
2024,Top4 Barrel% + sample,4858,0.19941795763419712,0.19909164524035206,0.00032631239384506294,0.00019404065396139147
2024,Top4 xwOBA + K + sample,4858,0.19941795763419712,0.1990626393620408,0.0003553182721563186,0.00022304653227264715
2024,Top4 xwOBA + K + Barrel + sample,4858,0.19941795763419712,0.19900104356425685,0.00041691406994026625,0.0002846423300565948
2024,All 4 Top4 skill + sample,4858,0.19941795763419712,0.19870925172000067,0.0007087059141964447,0.0005764341743127732
2025,Sample only control,4860,0.20809640549713926,0.2082082671252864,-0.0001118616281471363,0.0
2025,Top4 xwOBA + sample,4860,0.20809640549713926,0.20813991690521746,-4.351140807820619e-05,6.83502200689301e-05
2025,Top4 K% + sample,4860,0.20809640549713926,0.20823865472266925,-0.00014224922552999453,-3.0387597382858234e-05
2025,Top4 BB% + sample,4860,0.20809640549713926,0.20831337409093767,-0.00021696859379841116,-0.00010510696565127486
2025,Top4 Barrel% + sample,4860,0.20809640549713926,0.20794485951674507,0.00015154598039418543,0.0002634076085413217
2025,Top4 xwOBA + K + sample,4860,0.20809640549713926,0.2081449344537965,-4.852895665724555e-05,6.333267148989075e-05
2025,Top4 xwOBA + K + Barrel + sample,4860,0.20809640549713926,0.20800175434781698,9.465114932227792e-05,0.0002065127774694142
2025,All 4 Top4 skill + sample,4860,0.20809640549713926,0.2080866469960867,9.758501052559154e-06,0.00012162012919969545
2026,Sample only control,3838,0.20647322892678152,0.20661517938679108,-0.00014195046000956002,0.0
2026,Top4 xwOBA + sample,3838,0.20647322892678152,0.20637147956868473,0.00010174935809678654,0.00024369981810634656
2026,Top4 K% + sample,3838,0.20647322892678152,0.2065605117359814,-8.728280919986786e-05,5.466765080969216e-05
2026,Top4 BB% + sample,3838,0.20647322892678152,0.20670320438862116,-0.00022997546183964324,-8.802500183008322e-05
2026,Top4 Barrel% + sample,3838,0.20647322892678152,0.20649283597088763,-1.960704410611247e-05,0.00012234341590344755
2026,Top4 xwOBA + K + sample,3838,0.20647322892678152,0.20637930461720322,9.392430957830267e-05,0.0002358747695878627
2026,Top4 xwOBA + K + Barrel + sample,3838,0.20647322892678152,0.20627173571824245,0.00020149320853907193,0.00034344366854863195
2026,All 4 Top4 skill + sample,3838,0.20647322892678152,0.20646879829320933,4.43063357219442e-06,0.00014638109358175444
