game_date,pitcher,pa,strikeouts,walks,xwoba_num,xwoba_denom,bbe,barrels
2025-03-18,518489,6,1,1,2.762497,5.0,3,0
2025-03-18,595014,4,2,0,1.084289,4.0,1,0
2025-03-18,607455,3,1,0,0.123,3.0,2,0
2025-03-18,656945,3,1,0,0.7959999999999999,3.0,2,0
2025-03-18,669212,5,1,0,1.046,5.0,4,0
2025-03-18,676508,3,1,0,1.0000384615384614,3.0,2,0
2025-03-18,676962,15,5,3,4.917491,15.0,7,0
2025-03-18,684007,16,2,4,4.764488,15.0,9,0
2025-03-18,808967,19,4,1,4.325497,19.0,14,0
2025-03-19,472610,6,2,1,2.266497,6.0,3,0
2025-03-19,489446,4,2,0,0.54,4.0,2,0
2025-03-19,519151,5,0,3,2.370491,5.0,2,0
2025-03-19,573204,3,1,0,0.362,3.0,2,0
2025-03-19,657006,17,5,1,7.987609557077627,17.0,11,3
2025-03-19,657240,5,0,2,2.613497,4.0,3,0
2025-03-19,663878,4,2,0,1.6228749999999998,4.0,2,1
2025-03-19,676263,5,1,0,1.2008,5.0,4,0
2025-03-19,681911,5,1,1,1.7371456486486485,5.0,3,1
2025-03-19,687863,4,1,1,1.052497,4.0,2,0
2025-03-19,689017,7,3,0,0.812,7.0,4,0
2025-03-19,808963,14,3,5,4.494485,14.0,6,0
2025-03-27,455119,5,2,0,1.118,5.0,3,0
2025-03-27,519008,2,0,0,0.164,2.0,2,0
2025-03-27,519151,5,0,0,2.18625,5.0,5,0
2025-03-27,519242,22,7,1,5.427097,21.0,14,1
2025-03-27,542888,2,1,0,0.915,2.0,1,0
2025-03-27,543135,21,9,0,6.35908611111111,21.0,12,2
2025-03-27,543243,20,6,2,5.670994,20.0,12,1
2025-03-27,547973,4,1,0,1.48503125,4.0,3,1
2025-03-27,554430,20,8,2,6.344559656565656,20.0,10,1
2025-03-27,573204,3,0,0,0.919,3.0,3,0
2025-03-27,579328,23,5,0,7.559881512605042,23.0,18,3
2025-03-27,592094,3,1,0,0.487,3.0,2,0
2025-03-27,592155,4,3,0,1.870888888888889,4.0,1,1
2025-03-27,592426,4,1,1,2.249622,4.0,2,1
2025-03-27,593576,3,0,0,1.8268125,3.0,3,1
2025-03-27,593974,1,0,0,0.128,1.0,1,0
2025-03-27,594580,1,1,0,0.0,1.0,0,0
2025-03-27,594902,19,3,0,4.117772727272728,19.0,16,1
2025-03-27,595014,5,2,1,1.205497,5.0,2,0
2025-03-27,596133,4,2,1,0.7354970000000001,4.0,1,0
2025-03-27,600917,4,1,1,3.956023881720429,4.0,2,2
2025-03-27,605130,3,2,0,0.009,3.0,1,0
2025-03-27,605154,3,2,0,0.358,3.0,1,0
2025-03-27,605182,2,1,1,0.691497,2.0,0,0
2025-03-27,605280,23,4,4,9.57472380851064,23.0,14,1
2025-03-27,605447,6,1,1,2.472786,6.0,3,0
2025-03-27,605483,24,2,4,9.726561908730158,23.0,17,1
2025-03-27,606303,1,0,0,0.778,1.0,1,0
2025-03-27,606930,5,0,1,2.073497,5.0,4,0
2025-03-27,607074,22,7,2,5.695337589743589,21.0,12,1
2025-03-27,607481,5,0,1,0.413,4.0,4,0
2025-03-27,608032,3,1,0,0.3999999999999999,3.0,2,0
2025-03-27,608371,3,1,0,2.371178571428572,3.0,2,1
2025-03-27,621053,4,0,2,1.575994,4.0,2,0
2025-03-27,621107,21,2,1,5.6118904615384615,21.0,18,2
2025-03-27,621237,3,2,0,0.034,3.0,1,0
2025-03-27,621244,24,5,2,10.975669675675675,24.0,17,4
2025-03-27,621363,5,1,2,2.2879940000000003,5.0,2,1
2025-03-27,621366,1,1,0,0.0,1.0,0,0
2025-03-27,621381,3,1,0,0.698,3.0,2,0
2025-03-27,622554,5,0,2,2.361994,5.0,3,0
2025-03-27,622663,25,6,4,8.613943666666668,24.0,14,1
2025-03-27,622786,5,1,1,1.228497,5.0,3,0
2025-03-27,623149,3,1,0,0.9169354838709676,3.0,2,1
2025-03-27,623211,9,2,1,1.494497,9.0,6,0
2025-03-27,623352,6,2,1,1.986497,6.0,3,0
2025-03-27,623437,2,0,1,0.707497,2.0,1,0
2025-03-27,640448,6,1,2,1.859994,6.0,3,0
2025-03-27,640451,3,1,0,0.386,3.0,2,0
2025-03-27,641154,22,3,0,7.479085106382978,22.0,19,1
2025-03-27,641302,4,1,0,0.634,3.0,2,0
2025-03-27,641329,3,1,0,1.256,3.0,2,0
2025-03-27,641941,3,2,0,0.4559090909090909,3.0,1,0
2025-03-27,642207,6,2,1,3.749578260364842,6.0,3,2
2025-03-27,642547,20,8,1,5.367332057896033,20.0,11,3
2025-03-27,642701,3,1,2,1.382994,3.0,0,0
2025-03-27,643338,2,1,0,1.2652127659574466,2.0,1,1
2025-03-27,643377,4,1,1,1.5493094999999997,4.0,2,1
2025-03-27,643410,3,2,0,0.215,3.0,1,0
2025-03-27,643511,4,0,1,1.539497,4.0,3,0
2025-03-27,645261,20,7,4,4.952988,20.0,9,0
2025-03-27,650556,6,1,3,2.574491,6.0,2,0
2025-03-27,650633,16,3,4,6.944217872881357,16.0,9,2
2025-03-27,656222,5,1,0,0.264,5.0,4,0
2025-03-27,656550,3,2,0,0.273,3.0,1,0
2025-03-27,656945,4,1,0,1.7673333333333332,4.0,3,0
2025-03-27,657006,22,2,1,9.794786,22.0,18,2
2025-03-27,657277,22,5,3,8.0845153697479,22.0,14,2
2025-03-27,657571,4,1,0,0.929289,4.0,2,0
2025-03-27,657612,3,0,0,0.4509999999999999,3.0,3,0
2025-03-27,657649,5,0,1,1.377497,5.0,4,0
2025-03-27,661403,6,1,0,1.411,6.0,5,0
2025-03-27,662253,3,1,1,0.780497,3.0,1,0
2025-03-27,663158,5,2,1,1.011497,5.0,2,0
2025-03-27,663423,4,1,0,2.5055,4.0,3,1
2025-03-27,663485,3,1,0,0.052,3.0,2,0
2025-03-27,663542,5,1,2,1.893994,5.0,2,0
2025-03-27,663574,3,2,0,0.5574285714285714,3.0,1,1
2025-03-27,663878,6,0,2,2.672283,6.0,3,0
2025-03-27,663992,4,1,1,1.422786,4.0,1,0
2025-03-27,664139,6,2,1,2.444761150943396,6.0,3,1
