holdout_year,model,rows,baseline_brier,model_brier,improvement_vs_baseline,improvement_vs_sample_control
2023,Combined sample control,4860,0.2082597503768057,0.20773727693810254,0.0005224734387031527,0.0
2023,Pitcher core only,4860,0.2082597503768057,0.20710835139074474,0.001151398986060953,0.0006289255473578004
2023,Offense core only,4860,0.2082597503768057,0.20767991919404477,0.0005798311827609204,5.735774405776772e-05
2023,Pitcher + offense core,4860,0.2082597503768057,0.207092892563862,0.001166857812943678,0.0006443843742405253
2023,Core + pitcher Barrel,4860,0.2082597503768057,0.20714797744230043,0.0011117729345052618,0.0005892994958021092
2023,Core + offense BB,4860,0.2082597503768057,0.20709334065916704,0.00116640971763865,0.0006439362789354974
2023,Core + pitcher BB,4860,0.2082597503768057,0.20715324528828033,0.0011065050885253613,0.0005840316498222087
2023,All pitcher + all offense skill,4860,0.2082597503768057,0.2071434214172318,0.0011163289595738923,0.0005938555208707397
2024,Combined sample control,4858,0.19941795763419712,0.1992799115162335,0.00013804611796361388,0.0
2024,Pitcher core only,4858,0.19941795763419712,0.19937090161623505,4.7056017962066043e-05,-9.099010000154784e-05
2024,Offense core only,4858,0.19941795763419712,0.19904749291117804,0.00037046472301907607,0.0002324186050554622
2024,Pitcher + offense core,4858,0.19941795763419712,0.1991225940785243,0.00029536355567280626,0.00015731743770919238
2024,Core + pitcher Barrel,4858,0.19941795763419712,0.19921418803209837,0.00020376960209875228,6.57234841351384e-05
2024,Core + offense BB,4858,0.19941795763419712,0.19884249439915205,0.000575463235045065,0.00043741711708145115
2024,Core + pitcher BB,4858,0.19941795763419712,0.19907254086175016,0.0003454167724469548,0.0002073706544833409
2024,All pitcher + all offense skill,4858,0.19941795763419712,0.19886727865659443,0.0005506789776026921,0.00041263285963907825
2025,Combined sample control,4860,0.20809640549713926,0.20836630639690276,-0.0002699008997635033,0.0
2025,Pitcher core only,4860,0.20809640549713926,0.20777341275978217,0.0003229927373570862,0.0005928936371205895
2025,Offense core only,4860,0.20809640549713926,0.20816200441305766,-6.559891591839673e-05,0.00020430198384510656
2025,Pitcher + offense core,4860,0.20809640549713926,0.20758828345447602,0.0005081220426632338,0.0007780229424267371
2025,Core + pitcher Barrel,4860,0.20809640549713926,0.207541880925032,0.0005545245721072511,0.0008244254718707544
2025,Core + offense BB,4860,0.20809640549713926,0.20766406289629027,0.0004323426008489839,0.0007022435006124872
2025,Core + pitcher BB,4860,0.20809640549713926,0.20757994562396095,0.0005164598731783043,0.0007863607729418076
2025,All pitcher + all offense skill,4860,0.20809640549713926,0.20763634132247544,0.0004600641746638212,0.0007299650744273245
2026,Combined sample control,3838,0.20647322892678152,0.20642815959214358,4.5069334637937164e-05,0.0
2026,Pitcher core only,3838,0.20647322892678152,0.20542769158550342,0.0010455373412781022,0.001000468006640165
2026,Offense core only,3838,0.20647322892678152,0.20610904073498623,0.0003641881917952894,0.0003191188571573522
2026,Pitcher + offense core,3838,0.20647322892678152,0.20509927481425932,0.0013739541125221966,0.0013288847778842594
2026,Core + pitcher Barrel,3838,0.20647322892678152,0.20500447537796615,0.0014687535488153713,0.0014236842141774342
2026,Core + offense BB,3838,0.20647322892678152,0.20530206118695127,0.0011711677398302534,0.0011260984051923162
2026,Core + pitcher BB,3838,0.20647322892678152,0.2052941901323421,0.0011790387944394243,0.0011339694598014871
2026,All pitcher + all offense skill,3838,0.20647322892678152,0.20542738158006596,0.0010458473467155616,0.0010007780120776244
