holdout_year,model,baseline_brier,model_brier,improvement_vs_baseline,improvement_vs_core
2023,Combined core,0.2082597503768057,0.207092892563862,0.001166857812943678,0.0
2023,Core + offense BB,0.2082597503768057,0.20709334065916704,0.00116640971763865,-4.4809530502787354e-07
2023,Core + pitcher 1st-inning history,0.2082597503768057,0.20723811756168747,0.0010216328151182175,-0.0001452249978254605
2023,Core + offense BB + pitcher history,0.2082597503768057,0.2072348347022219,0.0010249156745837928,-0.00014194213835988512
2024,Combined core,0.19941795763419712,0.1991225940785243,0.00029536355567280626,0.0
2024,Core + offense BB,0.19941795763419712,0.19884249439915205,0.000575463235045065,0.00028009967937225877
2024,Core + pitcher 1st-inning history,0.19941795763419712,0.19917132970952392,0.0002466279246731984,-4.873563099960787e-05
2024,Core + offense BB + pitcher history,0.19941795763419712,0.19889198542281203,0.0005259722113850895,0.00023060865571228328
2025,Combined core,0.20809640549713926,0.20758828345447602,0.0005081220426632338,0.0
2025,Core + offense BB,0.20809640549713926,0.20766406289629027,0.0004323426008489839,-7.577944181424989e-05
2025,Core + pitcher 1st-inning history,0.20809640549713926,0.20749664555718422,0.0005997599399550357,9.163789729180194e-05
2025,Core + offense BB + pitcher history,0.20809640549713926,0.207575791387358,0.00052061410978127,1.2492067118036188e-05
2026,Combined core,0.20647322892678152,0.20509927481425932,0.0013739541125221966,0.0
2026,Core + offense BB,0.20647322892678152,0.20530206118695127,0.0011711677398302534,-0.00020278637269194322
2026,Core + pitcher 1st-inning history,0.20647322892678152,0.20518141939228668,0.0012918095344948421,-8.214457802735442e-05
2026,Core + offense BB + pitcher history,0.20647322892678152,0.2053872956051934,0.0010859333215881284,-0.0002880207909340682
