holdout_year,model,rows,baseline_brier,model_brier,improvement_vs_baseline,improvement_vs_pa
2023,PA only control,4860,0.2082597503768057,0.20791821966322402,0.00034153071358167253,0.0
2023,xwOBA + PA,4860,0.2082597503768057,0.20724922990122846,0.0010105204755772312,0.0006689897619955587
2023,xwOBA + K + PA,4860,0.2082597503768057,0.20729221027325803,0.0009675401035476594,0.0006260093899659869
2023,xwOBA + K + Barrel + PA,4860,0.2082597503768057,0.2073827776900456,0.0008769726867600969,0.0005354419731784243
2023,All 4 skill + PA,4860,0.2082597503768057,0.20738733626199815,0.0008724141148075404,0.0005308834012258679
2023,History + PA,4860,0.2082597503768057,0.20780602496251604,0.0004537254142896463,0.00011219470070797377
2023,xwOBA + K + History + PA,4860,0.2082597503768057,0.20746266349133982,0.0007970868854658697,0.00045555617188419717
2023,xwOBA + K + Barrel + History + PA,4860,0.2082597503768057,0.20753491296159063,0.0007248374152150627,0.0003833067016333902
2023,All 4 skill + History + PA,4860,0.2082597503768057,0.20755478632468213,0.0007049640521235578,0.0003634333385418853
2024,PA only control,4858,0.19941795763419712,0.19948402821331193,-6.607057911481307e-05,0.0
2024,xwOBA + PA,4858,0.19941795763419712,0.19945124102645623,-3.3283392259109146e-05,3.278718685570392e-05
2024,xwOBA + K + PA,4858,0.19941795763419712,0.19951597628874956,-9.80186545524453e-05,-3.194807543763223e-05
2024,xwOBA + K + Barrel + PA,4858,0.19941795763419712,0.19959261041719475,-0.0001746527829976363,-0.00010858220388282325
2024,All 4 skill + PA,4858,0.19941795763419712,0.19952363136491033,-0.00010567373071321273,-3.9603151598399666e-05
2024,History + PA,4858,0.19941795763419712,0.19942184709110397,-3.889456906852606e-06,6.218112220796046e-05
2024,xwOBA + K + History + PA,4858,0.19941795763419712,0.19955963405249846,-0.00014167641830134525,-7.560583918653219e-05
2024,xwOBA + K + Barrel + History + PA,4858,0.19941795763419712,0.1996361598575965,-0.000218202223399383,-0.00015213164428456993
2024,All 4 skill + History + PA,4858,0.19941795763419712,0.1995640079112881,-0.00014605027709096996,-7.99796979761569e-05
2025,PA only control,4860,0.20809640549713926,0.20836281512170654,-0.000266409624567282,0.0
2025,xwOBA + PA,4860,0.20809640549713926,0.20794050506014683,0.00015590043699242884,0.00042231006155971085
2025,xwOBA + K + PA,4860,0.20809640549713926,0.207764787767164,0.0003316177299752532,0.0005980273545425352
2025,xwOBA + K + Barrel + PA,4860,0.20809640549713926,0.20770806051353438,0.0003883449836048769,0.0006547546081721589
2025,All 4 skill + PA,4860,0.20809640549713926,0.20770458903521857,0.0003918164619206854,0.0006582260864879674
2025,History + PA,4860,0.20809640549713926,0.20814133737070892,-4.493187356965911e-05,0.0002214777509976229
2025,xwOBA + K + History + PA,4860,0.20809640549713926,0.2076961772097149,0.00040022828742436456,0.0006666379119916466
2025,xwOBA + K + Barrel + History + PA,4860,0.20809640549713926,0.2076417966011859,0.0004546088959533623,0.0007210185205206443
2025,All 4 skill + History + PA,4860,0.20809640549713926,0.2076378779058953,0.0004585275912439568,0.0007249372158112388
2026,PA only control,3838,0.20647322892678152,0.20653071900947678,-5.749008269526068e-05,0.0
2026,xwOBA + PA,3838,0.20647322892678152,0.2057833855157327,0.0006898434110488294,0.0007473334937440901
2026,xwOBA + K + PA,3838,0.20647322892678152,0.20545670422904888,0.0010165246977326403,0.001074014780427901
2026,xwOBA + K + Barrel + PA,3838,0.20647322892678152,0.20535018506755331,0.0011230438592282066,0.0011805339419234673
2026,All 4 skill + PA,3838,0.20647322892678152,0.2055710812940203,0.0009021476327612243,0.000959637715456485
2026,History + PA,3838,0.20647322892678152,0.20649664888244906,-2.3419955667541847e-05,3.407012702771883e-05
2026,xwOBA + K + History + PA,3838,0.20647322892678152,0.2055342199393589,0.0009390089874226348,0.0009964990701178955
2026,xwOBA + K + Barrel + History + PA,3838,0.20647322892678152,0.20542551552344057,0.0010477134033409496,0.0011052034860362103
2026,All 4 skill + History + PA,3838,0.20647322892678152,0.2056429574955,0.0008302714312815318,0.0008877615139767925
