game_date,pitcher,pa,strikeouts,walks,xwoba_num,xwoba_denom,bbe,barrels
2023-03-30,425844,23,4,1,6.122903,23.0,18,0
2023-03-30,445926,6,1,0,1.55,6.0,5,0
2023-03-30,446372,19,4,4,9.616904628205129,19.0,11,2
2023-03-30,453286,22,6,2,6.1007416499356495,22.0,14,2
2023-03-30,455119,5,0,1,2.9349030000000003,5.0,4,0
2023-03-30,476595,5,0,0,1.118,5.0,5,0
2023-03-30,502043,21,3,1,8.374659578947368,21.0,16,2
2023-03-30,502085,3,2,0,0.007,3.0,1,0
2023-03-30,502202,3,1,1,0.8699030000000001,3.0,1,0
2023-03-30,518489,7,0,2,3.9338110000000004,7.0,4,0
2023-03-30,518585,4,0,3,2.1307090000000004,4.0,1,0
2023-03-30,519151,6,1,1,2.230903,6.0,4,0
2023-03-30,541640,9,1,1,2.383791888888889,9.0,7,0
2023-03-30,542914,3,0,1,1.1899030000000002,3.0,2,0
2023-03-30,543037,22,11,2,4.765806,22.0,9,0
2023-03-30,543507,5,1,1,1.203,4.0,3,0
2023-03-30,543521,7,1,2,1.998806,7.0,4,0
2023-03-30,548384,3,2,0,0.063,3.0,1,0
2023-03-30,554340,7,0,2,2.7227918888888887,6.0,5,1
2023-03-30,571479,4,2,1,1.021903,4.0,1,0
2023-03-30,571578,20,3,3,9.632354491990847,20.0,14,3
2023-03-30,571656,4,1,1,0.7289030000000001,3.0,2,0
2023-03-30,571882,6,1,0,1.46,6.0,5,0
2023-03-30,571901,3,1,0,0.7760833333333333,3.0,2,0
2023-03-30,571945,21,6,0,9.541180757575757,21.0,14,2
2023-03-30,571946,3,1,0,0.7679199999999999,3.0,2,1
2023-03-30,572193,4,0,1,1.783,3.0,3,0
2023-03-30,572403,3,1,0,0.5549999999999999,3.0,2,0
2023-03-30,573186,23,8,3,5.708709,23.0,12,0
2023-03-30,573204,3,1,0,0.07200000000000001,3.0,2,0
2023-03-30,592094,4,0,1,0.910903,4.0,3,0
2023-03-30,592741,4,2,1,1.0529030000000001,4.0,1,0
2023-03-30,593576,6,2,0,1.726,6.0,3,0
2023-03-30,593619,10,4,0,3.629670385395538,10.0,6,3
2023-03-30,593958,21,5,2,6.585578727272727,21.0,14,2
2023-03-30,593974,3,2,0,0.933,3.0,1,0
2023-03-30,594798,17,7,0,4.692917508417508,17.0,10,2
2023-03-30,600917,5,1,1,1.488903,5.0,3,0
2023-03-30,605154,6,3,0,2.2039999999999997,6.0,3,0
2023-03-30,605242,4,2,0,0.46499999999999997,4.0,2,0
2023-03-30,605347,2,1,0,0.263,2.0,1,0
2023-03-30,605400,17,4,2,6.1748774285714285,17.0,11,1
2023-03-30,605447,3,2,0,0.054,3.0,1,0
2023-03-30,605483,21,9,1,4.9089030000000005,21.0,11,0
2023-03-30,606160,4,1,0,1.6888297872340425,4.0,3,1
2023-03-30,607237,5,1,1,2.025903,5.0,3,0
2023-03-30,607481,3,2,1,0.695903,3.0,0,0
2023-03-30,607755,5,0,1,1.216903,5.0,4,0
2023-03-30,608331,13,2,0,2.5957000000000003,13.0,11,0
2023-03-30,608566,24,5,0,7.391249999999999,24.0,17,2
2023-03-30,608638,2,0,0,0.14,2.0,2,0
2023-03-30,608665,3,0,0,0.787,3.0,3,0
2023-03-30,621016,3,3,0,0.0,3.0,0,0
2023-03-30,621051,5,2,0,1.032,5.0,3,0
2023-03-30,621345,4,1,1,1.5189030000000001,4.0,2,0
2023-03-30,621363,5,0,1,1.976903,5.0,4,0
2023-03-30,621381,3,1,0,0.043000000000000003,3.0,2,0
2023-03-30,622065,6,1,1,2.037903,6.0,4,0
2023-03-30,622075,3,0,0,0.057999999999999996,3.0,3,0
2023-03-30,622098,4,2,0,0.487,4.0,2,0
2023-03-30,622491,19,6,0,2.842,19.0,13,0
2023-03-30,622503,9,2,0,2.2595,9.0,7,0
2023-03-30,623149,3,1,0,0.045,3.0,2,0
2023-03-30,623211,10,3,0,2.842005,10.0,6,0
2023-03-30,623474,3,1,0,0.298,3.0,2,0
2023-03-30,624522,4,1,1,1.1034030000000001,4.0,2,0
2023-03-30,625643,5,1,1,2.9699030000000004,5.0,3,1
2023-03-30,628711,21,6,0,6.314405,21.0,14,0
2023-03-30,640448,6,0,2,4.139520285714285,6.0,4,2
2023-03-30,640451,4,0,0,1.2429999999999999,4.0,4,1
2023-03-30,641154,21,8,3,5.211714,21.0,9,0
2023-03-30,641329,6,1,1,2.534908,6.0,3,0
2023-03-30,641360,3,1,0,0.158,3.0,2,0
2023-03-30,641401,5,1,0,3.397437111801242,5.0,4,2
2023-03-30,641835,3,0,0,1.899,3.0,3,0
2023-03-30,642121,5,0,1,3.237920857142858,5.0,4,1
2023-03-30,642239,4,1,0,0.46566666666666656,4.0,3,0
2023-03-30,642397,4,0,2,2.463806,4.0,2,0
2023-03-30,642528,1,0,0,0.023,1.0,1,0
2023-03-30,642546,7,2,0,2.971223345588234,7.0,5,2
2023-03-30,642585,6,2,1,1.8469030000000002,6.0,3,0
2023-03-30,642758,3,2,0,0.246,3.0,1,0
2023-03-30,642770,3,1,0,0.11599999999999999,3.0,2,0
2023-03-30,643256,4,0,1,0.8899030000000001,4.0,3,0
2023-03-30,643377,3,0,1,1.2949030000000001,3.0,2,0
2023-03-30,643511,4,1,0,1.2451600000000003,4.0,3,1
2023-03-30,645261,23,2,4,7.685540571428572,23.0,17,0
2023-03-30,647315,3,1,0,0.265,3.0,2,0
2023-03-30,650556,3,1,0,0.209,3.0,2,0
2023-03-30,656234,4,0,1,1.4680794705882354,4.0,3,0
2023-03-30,656271,9,3,0,1.104,9.0,6,0
2023-03-30,656302,22,10,0,4.679986818181818,22.0,11,1
2023-03-30,656464,2,1,0,0.062,2.0,1,0
2023-03-30,656605,23,8,4,8.413612,23.0,11,2
2023-03-30,656945,4,0,1,2.650903,4.0,3,0
2023-03-30,657024,3,2,0,0.256,3.0,1,0
2023-03-30,657265,3,0,0,0.589,3.0,3,0
2023-03-30,657277,24,12,2,6.049594032454362,24.0,10,2
2023-03-30,659275,5,2,0,1.772,5.0,3,0
2023-03-30,660271,23,10,3,4.218656368421053,23.0,10,0
2023-03-30,660853,2,1,0,0.034,2.0,1,0
2023-03-30,661395,4,1,1,0.903903,4.0,2,0
2023-03-30,662253,5,0,0,1.504,5.0,5,0
2023-03-30,663556,22,6,1,4.809509060606061,22.0,15,1
2023-03-30,663855,7,1,1,2.738903,7.0,5,0
2023-03-30,663986,3,1,0,1.2974999999999999,3.0,2,1
2023-03-30,664126,4,0,0,0.617,4.0,4,0
2023-03-30,664139,3,0,1,0.8969030000000001,3.0,2,0
2023-03-30,664285,22,4,0,5.797005,21.0,16,0
2023-03-30,664294,5,3,2,1.391806,5.0,0,0
2023-03-30,664854,6,0,1,2.280303,6.0,5,0
2023-03-30,664875,3,3,0,0.0,3.0,0,0
2023-03-30,666142,3,0,1,0.7587,2.0,2,0
2023-03-30,666168,7,3,0,1.574,7.0,4,0
2023-03-30,666201,21,3,2,9.175341653650255,21.0,16,3
2023-03-30,666204,4,1,1,1.108569666666667,4.0,2,0
2023-03-30,666205,19,3,1,5.952903,19.0,15,0
2023-03-30,666374,4,2,0,0.976,4.0,2,0
2023-03-30,667427,4,1,1,1.398403,4.0,2,0
2023-03-30,668678,23,7,3,7.371709,23.0,13,0
2023-03-30,668868,6,3,0,1.171,6.0,3,0
2023-03-30,668881,18,8,3,7.069084,18.0,7,1
2023-03-30,669203,23,3,3,6.93805775,23.0,16,1
2023-03-30,669211,4,2,0,0.40700000000000003,4.0,2,0
2023-03-30,669276,3,0,1,0.804903,3.0,2,0
2023-03-30,669395,6,0,2,3.4142821904761904,6.0,4,1
2023-03-30,669438,4,0,0,2.5052106227106226,4.0,4,1
2023-03-30,669456,23,3,0,7.832564761904762,23.0,20,2
2023-03-30,669459,5,2,0,1.762,5.0,3,0
2023-03-30,669467,6,0,1,1.6129030000000002,5.0,4,0
