game_date,batter,pa,strikeouts,walks,xwoba_num,xwoba_denom,bbe,barrels
2026-03-25,519317,4,1,0,1.739,4.0,3,1
2026-03-25,592450,5,4,0,0.159,5.0,1,0
2026-03-25,641355,5,2,0,0.996,5.0,3,0
2026-03-25,641857,4,2,1,0.797829,4.0,1,0
2026-03-25,642715,4,1,0,0.842,4.0,3,0
2026-03-25,646240,4,0,0,1.131,4.0,4,0
2026-03-25,650333,4,0,1,2.004829,4.0,3,0
2026-03-25,656305,4,0,1,1.608829,4.0,3,0
2026-03-25,663757,5,1,0,2.5540000000000003,5.0,4,2
2026-03-25,664056,3,2,0,0.003,3.0,1,0
2026-03-25,665862,4,0,0,2.04377,4.0,3,0
2026-03-25,669224,4,0,1,2.206829,4.0,3,0
2026-03-25,669477,4,0,0,1.15777,4.0,3,0
2026-03-25,671218,4,2,0,0.913,4.0,2,0
2026-03-25,672275,3,1,0,0.941,3.0,2,1
2026-03-25,676609,4,0,0,1.422,4.0,4,0
2026-03-25,700250,5,2,1,1.334829,5.0,2,0
2026-03-25,808982,4,0,0,1.391,4.0,4,0
2026-03-26,457705,2,1,0,0.954,2.0,1,1
2026-03-26,467793,3,1,0,0.055999999999999994,3.0,2,0
2026-03-26,500743,4,1,0,1.048,4.0,3,0
2026-03-26,514888,4,0,1,1.477829,4.0,3,0
2026-03-26,518692,5,0,1,2.802829,5.0,4,1
2026-03-26,542303,4,1,0,0.632,4.0,3,0
2026-03-26,543309,1,0,0,0.564,1.0,1,0
2026-03-26,543760,5,1,0,0.799,5.0,4,0
2026-03-26,545361,5,1,3,3.852487,5.0,1,1
2026-03-26,547180,4,2,0,0.404,4.0,2,0
2026-03-26,553993,4,3,0,0.005,4.0,1,0
2026-03-26,571448,3,1,0,0.706,3.0,2,0
2026-03-26,571970,4,1,2,1.985658,4.0,1,0
2026-03-26,572233,3,0,0,1.534,3.0,3,1
2026-03-26,575929,5,1,1,0.707829,4.0,2,0
2026-03-26,592206,1,0,0,0.099,1.0,1,0
2026-03-26,592518,4,1,1,1.6078290000000002,4.0,2,0
2026-03-26,592626,1,0,0,0.014,1.0,1,0
2026-03-26,592663,4,3,0,0.72877,4.0,0,0
2026-03-26,592885,5,0,1,2.553829,5.0,4,0
2026-03-26,593428,4,0,0,2.6470000000000002,4.0,4,1
2026-03-26,593871,5,1,2,2.445658,5.0,2,1
2026-03-26,595879,4,1,1,1.1748290000000001,4.0,2,0
2026-03-26,596019,5,0,3,2.205487,5.0,2,0
2026-03-26,596115,5,1,0,2.312,5.0,4,1
2026-03-26,605137,4,3,1,0.697829,4.0,0,0
2026-03-26,605141,5,1,0,1.8637700000000001,5.0,3,0
2026-03-26,605170,4,0,1,1.523829,4.0,3,0
2026-03-26,606192,4,0,0,1.312,4.0,4,0
2026-03-26,606466,4,1,0,1.099,4.0,3,0
2026-03-26,607043,4,1,1,1.194829,4.0,2,0
2026-03-26,607208,4,0,0,1.171,4.0,4,0
2026-03-26,608070,5,2,0,0.893,5.0,3,1
2026-03-26,608324,5,1,1,1.401829,5.0,3,0
2026-03-26,608348,4,0,1,3.219829,4.0,3,1
2026-03-26,608369,4,1,0,0.99,4.0,3,1
2026-03-26,609280,4,0,1,1.3038290000000001,4.0,3,0
2026-03-26,621020,4,0,2,1.956658,4.0,2,0
2026-03-26,621043,4,1,0,0.383,4.0,3,0
2026-03-26,621439,4,1,0,0.6970000000000001,4.0,3,0
2026-03-26,621493,4,0,0,0.529,4.0,4,0
2026-03-26,624413,4,2,1,1.440829,4.0,1,0
2026-03-26,624424,1,1,0,0.0,1.0,0,0
2026-03-26,624512,1,1,0,0.0,1.0,0,0
2026-03-26,624585,5,2,0,0.866,5.0,3,0
2026-03-26,630105,4,1,0,0.681,4.0,3,0
2026-03-26,641343,5,2,0,1.2690000000000001,5.0,3,1
2026-03-26,641584,1,0,0,0.074,1.0,1,0
2026-03-26,641933,3,0,1,0.9968290000000001,3.0,2,0
2026-03-26,643217,2,2,0,0.0,2.0,0,0
2026-03-26,643376,4,0,0,0.935,4.0,4,0
2026-03-26,643396,2,1,0,0.0,1.0,0,0
2026-03-26,647304,4,0,0,0.6160000000000001,4.0,4,0
2026-03-26,650402,5,0,1,1.353829,5.0,4,0
2026-03-26,650490,6,0,1,1.963829,6.0,5,0
2026-03-26,650859,2,0,0,0.609,2.0,2,0
2026-03-26,656537,1,1,0,0.0,1.0,0,0
2026-03-26,656555,4,0,1,2.115829,4.0,3,1
2026-03-26,656775,5,0,0,0.72,5.0,5,0
2026-03-26,656811,4,1,0,1.05,4.0,3,0
2026-03-26,656941,4,1,0,0.7889999999999999,4.0,3,1
2026-03-26,657656,4,1,0,1.911,4.0,3,1
2026-03-26,657757,3,0,0,0.8,3.0,3,0
2026-03-26,660162,5,1,2,1.726658,5.0,2,0
2026-03-26,660271,5,0,1,3.019599,5.0,3,2
2026-03-26,660688,4,1,0,0.33799999999999997,4.0,3,0
2026-03-26,660844,3,1,1,0.707829,3.0,1,0
