game_date,batter,pa,strikeouts,walks,xwoba_num,xwoba_denom,bbe,barrels
2022-04-07,405395,5,0,0,1.5846666666666667,5.0,5,0
2022-04-07,425877,4,0,0,0.564,4.0,4,0
2022-04-07,429664,4,0,1,1.157744,4.0,3,0
2022-04-07,443558,4,1,0,0.395,4.0,3,0
2022-04-07,444482,4,1,2,1.411488,4.0,1,0
2022-04-07,444876,4,2,0,1.47,4.0,2,0
2022-04-07,455117,4,1,0,0.318,4.0,3,0
2022-04-07,456715,4,1,0,0.91,4.0,3,0
2022-04-07,457705,5,0,0,2.3085555555555555,5.0,5,0
2022-04-07,458015,4,1,0,1.4249999999999998,4.0,3,0
2022-04-07,467793,3,0,1,0.709744,3.0,2,0
2022-04-07,488726,5,1,0,2.2055833333333332,5.0,4,1
2022-04-07,493329,4,1,0,0.6254761904761905,4.0,3,0
2022-04-07,500871,5,2,1,1.469744,5.0,2,0
2022-04-07,502054,4,1,1,0.9957440000000001,4.0,2,0
2022-04-07,502671,5,0,4,3.311976,5.0,1,0
2022-04-07,514888,5,3,1,0.934744,5.0,1,0
2022-04-07,514917,4,1,0,0.879,4.0,3,0
2022-04-07,516782,5,0,0,0.761,5.0,5,0
2022-04-07,518595,4,2,0,0.9067777777777778,4.0,2,0
2022-04-07,518792,4,0,0,1.331,4.0,4,0
2022-04-07,519058,4,2,0,0.167,4.0,2,0
2022-04-07,521692,4,0,0,1.1719384615384616,4.0,4,1
2022-04-07,542303,4,0,1,1.916369,4.0,3,0
2022-04-07,542364,3,1,1,0.724744,3.0,1,0
2022-04-07,543105,2,0,0,0.681,2.0,2,0
2022-04-07,543333,4,0,0,1.705,4.0,4,0
2022-04-07,543510,4,0,0,1.662426,4.0,2,0
2022-04-07,543592,4,0,0,0.83,4.0,4,0
2022-04-07,543685,4,0,0,0.6604,4.0,4,0
2022-04-07,543939,5,1,0,0.941,5.0,4,0
2022-04-07,545358,3,0,0,1.8547500000000001,3.0,3,1
2022-04-07,545361,4,1,1,1.684744,4.0,2,0
2022-04-07,547379,3,0,1,1.577744,3.0,2,0
2022-04-07,553882,2,0,1,1.408957,2.0,0,0
2022-04-07,571448,5,1,1,3.0408641298701293,5.0,3,1
2022-04-07,571657,4,1,0,1.343,4.0,3,0
2022-04-07,571976,4,2,0,0.45699999999999996,4.0,2,0
2022-04-07,572191,4,0,1,1.281744,3.0,2,0
2022-04-07,572228,4,0,2,1.603488,4.0,2,0
2022-04-07,572233,4,0,1,1.022744,4.0,3,0
2022-04-07,575929,4,1,0,1.5245608260869565,4.0,2,0
2022-04-07,592192,4,1,1,2.077744,4.0,2,0
2022-04-07,592273,4,1,0,0.7024285714285715,4.0,3,0
2022-04-07,592325,3,1,1,1.6390198620689658,3.0,1,1
2022-04-07,592518,4,0,1,0.819744,4.0,3,0
2022-04-07,592669,4,1,0,0.618,4.0,3,0
2022-04-07,592696,4,1,1,1.8294106666666667,4.0,2,0
2022-04-07,592885,5,1,1,1.250744,5.0,3,0
2022-04-07,593160,4,2,0,0.962,4.0,2,0
2022-04-07,594807,4,3,1,0.688744,4.0,0,0
2022-04-07,595777,4,1,1,1.607744,4.0,2,0
2022-04-07,595978,4,0,0,0.362,4.0,4,0
2022-04-07,596019,5,3,0,0.788,5.0,2,0
2022-04-07,596129,3,1,0,0.057,3.0,2,0
2022-04-07,596748,4,1,0,0.172,4.0,3,0
2022-04-07,605137,4,1,0,0.394,4.0,3,0
2022-04-07,605170,1,0,0,0.884,1.0,1,0
2022-04-07,605204,5,1,1,2.727812965517241,5.0,3,1
2022-04-07,606157,5,4,0,0.708,5.0,1,0
2022-04-07,606466,4,2,0,0.266,4.0,2,0
2022-04-07,607054,2,0,1,1.010744,2.0,1,0
2022-04-07,608070,4,1,0,1.597,4.0,3,0
2022-04-07,608324,4,0,0,1.3679999999999999,4.0,4,0
2022-04-07,608348,4,0,0,1.008213,4.0,3,0
2022-04-07,608671,1,1,0,0.0,1.0,0,0
2022-04-07,609275,3,2,0,0.01,3.0,1,0
2022-04-07,614177,4,1,0,0.759,4.0,3,0
2022-04-07,621020,4,4,0,0.0,4.0,0,0
2022-04-07,621028,4,0,0,1.4060000000000001,4.0,4,0
2022-04-07,621438,1,0,0,0.131,1.0,1,0
2022-04-07,621550,4,2,0,0.014,4.0,2,0
2022-04-07,621566,4,1,2,2.033488,4.0,1,0
2022-04-07,622110,3,0,0,0.347,3.0,3,0
2022-04-07,624413,5,0,0,2.758213,5.0,4,0
2022-04-07,628338,2,1,0,0.3,2.0,1,0
2022-04-07,630105,4,0,2,1.508488,4.0,2,0
2022-04-07,640449,1,0,0,0.7,1.0,1,0
2022-04-07,640458,1,0,0,0.019,1.0,1,0
2022-04-07,641531,3,1,0,1.1059999999999999,3.0,2,1
2022-04-07,641933,5,1,1,3.0003593846153844,5.0,3,1
2022-04-07,642133,4,2,0,1.69,4.0,2,0
2022-04-07,642165,1,1,0,0.0,1.0,0,0
2022-04-07,642180,1,0,0,0.4,1.0,1,0
2022-04-07,642708,4,0,0,2.294,4.0,4,0
2022-04-07,642715,5,2,0,0.857,5.0,3,0
2022-04-07,643217,4,0,0,0.712,4.0,4,0
2022-04-07,643446,4,1,0,1.328,4.0,3,0
2022-04-07,643524,4,0,0,0.29100000000000004,4.0,4,0
2022-04-07,644374,4,2,0,1.5997796610169484,4.0,2,1
2022-04-07,645277,4,1,0,0.6459999999999999,4.0,3,0
2022-04-07,645302,3,2,0,0.0,2.0,1,0
2022-04-07,656252,2,0,0,0.268,2.0,2,0
2022-04-07,656308,1,0,0,0.004,1.0,1,0
2022-04-07,656403,2,0,0,0.084,2.0,2,0
2022-04-07,656976,4,0,2,2.019488,4.0,2,0
2022-04-07,657041,4,1,1,1.046744,4.0,2,0
2022-04-07,657061,3,1,0,0.735,3.0,2,0
2022-04-07,657557,4,0,1,0.820744,4.0,3,0
2022-04-07,660271,4,1,0,0.23800000000000002,4.0,3,0
2022-04-07,660294,3,0,0,1.275,3.0,3,0
2022-04-07,660636,3,1,0,0.414,3.0,2,0
2022-04-07,660688,4,0,0,2.524019607843137,4.0,4,1
2022-04-07,660829,3,1,0,0.30400000000000005,3.0,2,0
2022-04-07,662139,4,1,0,0.8963478260869565,4.0,3,0
2022-04-07,663538,3,1,0,0.7941176470588234,3.0,2,1
2022-04-07,663586,4,0,0,2.6900714285714287,4.0,4,1
2022-04-07,663611,4,1,1,1.3804106666666667,4.0,2,0
2022-04-07,663647,1,1,0,0.0,1.0,0,0
2022-04-07,663656,4,1,1,1.0676428571428571,3.0,2,0
2022-04-07,663697,5,1,0,1.241,5.0,4,0
2022-04-07,663757,4,1,0,1.9812999999999998,4.0,3,1
2022-04-07,663886,4,1,0,2.1801745384615385,4.0,2,1
2022-04-07,664023,5,0,0,2.04372,4.0,4,1
2022-04-07,664056,4,0,0,1.132,4.0,4,0
2022-04-07,664058,3,0,0,1.475,3.0,3,0
2022-04-07,664702,5,1,1,1.566744,5.0,3,0
2022-04-07,665120,3,1,0,0.587,3.0,2,0
2022-04-07,665161,4,2,0,0.592,4.0,2,0
2022-04-07,665742,4,1,1,2.8961884444444443,4.0,2,1
2022-04-07,665926,4,0,0,0.792,4.0,4,0
2022-04-07,666176,3,3,0,0.0,3.0,0,0
2022-04-07,666179,4,1,0,0.797842105263158,4.0,3,0
2022-04-07,666185,5,2,0,1.206213,5.0,2,0
2022-04-07,668804,4,2,0,0.5660000000000001,4.0,2,0
2022-04-07,669016,3,1,0,0.907213,3.0,1,0
2022-04-07,669222,4,1,0,1.269,4.0,3,0
2022-04-07,669242,4,1,0,2.2413333333333334,4.0,3,1
2022-04-07,669450,1,0,1,0.688744,1.0,0,0
2022-04-07,670032,3,1,0,0.6803571428571429,2.0,2,0
2022-04-07,670541,4,0,1,3.0175297142857147,4.0,3,1
2022-04-07,670712,2,1,1,0.688744,2.0,0,0
2022-04-07,672695,3,1,1,0.7377440000000001,3.0,1,0
2022-04-07,673490,4,1,1,1.2622440000000001,4.0,2,0
2022-04-07,673548,4,1,2,1.905488,4.0,1,0
2022-04-07,676801,4,1,0,1.218294117647059,4.0,3,0
2022-04-07,677951,4,0,0,0.675,4.0,4,0
2022-04-07,680757,4,0,2,2.171488,4.0,2,0
2022-04-07,680911,1,0,1,0.688744,1.0,0,0
2022-04-08,408234,4,1,0,0.935,4.0,3,0
2022-04-08,429664,4,1,0,1.5349166666666667,4.0,3,1
2022-04-08,435559,4,0,0,1.227,4.0,4,0
2022-04-08,443558,4,1,0,1.05,4.0,3,0
2022-04-08,444482,3,0,0,0.856,3.0,3,0
2022-04-08,444876,3,2,0,0.007,3.0,1,0
2022-04-08,453568,5,2,0,0.8109999999999999,4.0,2,0
2022-04-08,455117,4,0,1,1.8147440000000001,4.0,3,0
2022-04-08,455139,3,2,0,0.091,3.0,1,0
2022-04-08,457759,5,2,0,1.202,5.0,3,0
