game_date,pitcher,pa,strikeouts,walks,xwoba_num,xwoba_denom,bbe,barrels
2022-04-07,424144,4,1,0,0.7662999999999999,4.0,3,1
2022-04-07,425794,21,6,0,5.3582758620689654,21.0,15,1
2022-04-07,425844,22,1,1,8.533523661016948,22.0,20,1
2022-04-07,455119,3,0,0,0.377,3.0,3,0
2022-04-07,458677,3,2,0,0.586,3.0,1,0
2022-04-07,489334,1,0,0,0.680842105263158,1.0,1,0
2022-04-07,493603,3,2,0,0.048,3.0,1,0
2022-04-07,502085,4,1,0,0.847,4.0,3,0
2022-04-07,506433,22,3,4,4.639323826086956,22.0,15,0
2022-04-07,518516,14,2,4,4.618976,14.0,8,0
2022-04-07,519151,3,0,0,1.6604,3.0,3,0
2022-04-07,543294,24,7,3,7.819000555555555,24.0,13,0
2022-04-07,543507,6,0,0,3.889444444444445,6.0,6,1
2022-04-07,543521,3,1,0,0.8544285714285715,3.0,2,0
2022-04-07,543766,1,1,0,0.0,1.0,0,0
2022-04-07,570666,5,0,2,1.812488,5.0,3,0
2022-04-07,571578,18,4,2,5.784701,18.0,11,0
2022-04-07,571710,1,1,0,0.0,1.0,0,0
2022-04-07,571901,3,1,0,0.16999999999999998,3.0,2,0
2022-04-07,572193,5,0,0,3.5142857142857142,5.0,5,1
2022-04-07,572955,5,3,1,0.7377440000000001,5.0,1,0
2022-04-07,573009,4,1,1,1.470244,4.0,2,0
2022-04-07,592390,5,0,2,2.501488,5.0,3,0
2022-04-07,592804,3,2,0,0.0,3.0,1,0
2022-04-07,592858,4,0,0,1.9660000000000002,4.0,4,0
2022-04-07,593576,1,0,0,0.07,1.0,1,0
2022-04-07,596057,4,0,1,1.6897440000000001,4.0,3,0
2022-04-07,596133,5,0,0,2.649,5.0,5,0
2022-04-07,598287,5,1,1,1.349744,5.0,3,0
2022-04-07,600921,6,1,0,2.709281965517241,6.0,4,1
2022-04-07,605130,8,3,0,0.9209999999999999,8.0,5,0
2022-04-07,605151,4,0,1,0.927744,4.0,3,0
2022-04-07,607625,4,1,1,0.816744,4.0,2,0
2022-04-07,608331,26,5,1,8.597918538461538,26.0,19,1
2022-04-07,608717,3,0,0,0.47766666666666663,3.0,3,0
2022-04-07,608723,6,1,1,3.444744,6.0,4,0
2022-04-07,621242,4,1,1,1.309744,4.0,2,0
2022-04-07,621249,1,0,0,0.575,1.0,1,0
2022-04-07,621295,3,0,0,0.948,3.0,3,0
2022-04-07,622251,2,0,1,1.117744,2.0,1,0
2022-04-07,640444,8,3,2,1.722488,8.0,3,0
2022-04-07,641394,5,1,2,1.5454880000000002,5.0,2,0
2022-04-07,641816,20,7,2,6.417557444444444,20.0,11,0
2022-04-07,641907,5,0,0,1.227,5.0,5,0
2022-04-07,644364,2,0,0,0.156,2.0,2,0
2022-04-07,650671,1,0,0,0.5874444444444444,1.0,1,0
2022-04-07,650893,5,2,2,1.381488,5.0,1,0
2022-04-07,656731,18,6,0,3.713019607843137,17.0,12,1
2022-04-07,657612,3,0,0,0.777,3.0,3,0
2022-04-07,660271,19,9,1,4.625319863678805,19.0,9,1
2022-04-07,663158,3,0,2,2.097701,3.0,0,0
2022-04-07,663474,13,1,2,2.643488,11.0,9,0
2022-04-07,663574,3,2,0,0.3,3.0,1,0
2022-04-07,664092,4,0,1,0.920744,4.0,3,0
2022-04-07,664141,17,2,3,6.434490241758241,17.0,12,1
2022-04-07,664208,5,1,0,3.2969630000000003,5.0,3,1
2022-04-07,664285,22,6,1,3.126744,22.0,15,0
2022-04-07,664294,5,2,1,2.5758154285714285,5.0,2,1
2022-04-07,664776,6,2,0,2.1229329999999997,6.0,3,1
2022-04-07,664854,3,1,0,0.29000000000000004,3.0,2,0
2022-04-07,666168,5,3,1,1.408957,5.0,0,0
2022-04-07,667465,7,0,0,5.191023606060606,7.0,6,2
2022-04-07,669203,22,4,3,6.1603641398124465,21.0,14,1
2022-04-07,669456,18,4,0,4.665295604395604,18.0,14,2
2022-04-07,675911,6,5,0,0.579,6.0,1,0
2022-04-07,676879,8,1,1,2.425744,8.0,6,0
2022-04-07,681810,6,0,1,1.5224761904761905,5.0,5,0
2022-04-08,424144,4,0,0,2.5262569444444445,4.0,4,1
2022-04-08,445276,7,1,1,3.154521777777778,7.0,5,1
2022-04-08,448281,3,1,0,0.172,3.0,2,0
2022-04-08,450203,19,5,1,3.557471272727273,19.0,13,0
2022-04-08,453286,22,6,1,9.889665333333333,22.0,14,4
2022-04-08,459429,3,0,0,1.49,3.0,3,0
2022-04-08,501625,1,1,0,0.0,1.0,0,0
2022-04-08,502179,10,3,1,3.227994,10.0,6,1
2022-04-08,518489,2,1,0,0.595,2.0,1,0
2022-04-08,518553,1,0,0,0.720213,1.0,0,0
2022-04-08,518617,3,0,1,0.795213,2.0,1,0
2022-04-08,518813,4,2,0,2.4715799999999994,4.0,2,2
2022-04-08,518876,18,7,2,3.808488,17.0,8,0
2022-04-08,518886,5,2,0,1.855675675675676,5.0,3,1
2022-04-08,519293,3,1,0,0.951,3.0,2,0
2022-04-08,520980,6,0,0,2.589,6.0,6,0
2022-04-08,521230,8,2,0,4.678549105336106,8.0,5,2
2022-04-08,528748,7,1,0,1.96,7.0,6,0
2022-04-08,542914,3,0,1,1.390744,3.0,2,0
2022-04-08,542947,3,0,0,1.0212857142857141,3.0,3,1
2022-04-08,543037,17,3,1,5.650846345063539,17.0,12,2
2022-04-08,543056,7,3,1,2.038544,7.0,3,0
2022-04-08,543135,23,7,1,7.292457,23.0,14,2
2022-04-08,543272,2,1,0,0.238,2.0,1,0
2022-04-08,543339,4,3,0,0.713,4.0,1,0
2022-04-08,543606,18,2,0,5.520464285714286,17.0,16,1
2022-04-08,544727,4,1,0,0.534,4.0,3,0
2022-04-08,545343,3,0,1,0.246,2.0,2,0
2022-04-08,547973,3,2,0,0.005,3.0,1,0
2022-04-08,548384,1,1,0,0.0,1.0,0,0
2022-04-08,548389,3,0,0,0.371,3.0,3,0
2022-04-08,552640,5,1,1,1.5267439999999999,5.0,3,0
2022-04-08,554340,4,0,1,0.8617440000000001,4.0,3,0
