game_date,batter,pa,strikeouts,walks,xwoba_num,xwoba_denom,bbe,barrels
2024-03-20,518692,5,1,2,3.2563001538461536,5.0,1,1
2024-03-20,518792,2,0,0,0.025,2.0,2,0
2024-03-20,571771,3,1,1,1.001131,3.0,1,0
2024-03-20,571970,5,2,2,2.2822620000000002,5.0,1,0
2024-03-20,592518,4,0,1,1.1451310000000001,4.0,3,0
2024-03-20,593428,4,0,0,1.7429999999999999,4.0,4,0
2024-03-20,595777,3,1,1,0.9681310000000001,3.0,1,0
2024-03-20,605141,5,0,1,2.3780721764705883,5.0,4,0
2024-03-20,606192,5,2,0,1.549,5.0,3,0
2024-03-20,630105,4,2,0,0.9241818181818182,4.0,2,1
2024-03-20,642180,3,1,1,1.3381310000000002,3.0,1,0
2024-03-20,660271,5,0,0,2.045,5.0,5,0
2024-03-20,665487,4,1,0,0.40099999999999997,4.0,3,0
2024-03-20,666158,5,0,0,1.305,5.0,5,0
2024-03-20,669134,4,0,0,0.9390000000000001,4.0,4,0
2024-03-20,669257,5,1,1,1.238131,5.0,3,0
2024-03-20,673490,4,0,1,1.289131,4.0,3,0
2024-03-20,681546,5,0,2,1.9442620000000002,5.0,3,0
2024-03-20,688363,1,1,0,0.0,1.0,0,0
2024-03-20,701538,3,0,0,1.1152222222222223,3.0,3,1
2024-03-21,518692,6,2,2,2.7212620000000003,6.0,2,0
2024-03-21,518792,5,0,0,1.8920000000000001,5.0,5,0
2024-03-21,571970,6,3,0,1.061,6.0,3,0
2024-03-21,592518,6,1,2,3.33385575,6.0,3,1
2024-03-21,593428,6,2,1,2.287131,6.0,3,0
2024-03-21,595777,4,1,1,1.2464435,4.0,2,0
2024-03-21,605141,6,0,1,3.089521476190477,6.0,5,1
2024-03-21,606192,5,2,2,1.6822620000000001,5.0,1,0
2024-03-21,630105,6,0,0,3.057192,6.0,5,0
2024-03-21,640492,2,0,0,0.82,2.0,2,0
2024-03-21,642180,3,0,0,1.081,3.0,3,0
2024-03-21,660271,6,0,0,3.5855920031055906,6.0,6,1
2024-03-21,665487,6,0,1,3.499323,6.0,4,1
2024-03-21,666158,5,1,0,1.942,5.0,4,0
2024-03-21,666703,3,1,0,0.13,3.0,2,0
2024-03-21,669134,6,0,0,1.6760000000000002,6.0,6,0
2024-03-21,669257,6,1,0,3.335225806451613,6.0,5,1
2024-03-21,673490,6,0,1,2.163464333333333,6.0,5,1
2024-03-21,681546,5,0,1,1.6863230000000002,5.0,3,0
2024-03-21,701538,5,3,0,1.7846415094339625,5.0,2,1
2024-03-28,453568,3,0,1,0.901131,3.0,2,0
2024-03-28,455117,3,1,0,0.049999999999999996,3.0,2,0
2024-03-28,457705,6,4,1,0.921131,6.0,1,0
2024-03-28,457759,5,1,0,1.358192,5.0,3,0
2024-03-28,467793,5,2,1,1.377,4.0,2,0
2024-03-28,500743,1,0,0,0.005,1.0,1,0
2024-03-28,502671,4,1,0,2.4454651162790704,4.0,3,1
2024-03-28,514888,5,2,0,0.7130000000000001,5.0,3,0
2024-03-28,518692,4,1,1,1.9721310000000003,4.0,2,1
2024-03-28,518792,3,0,0,0.259,3.0,3,0
2024-03-28,519203,5,1,1,2.046323,5.0,2,0
2024-03-28,519317,5,2,0,0.612,5.0,3,0
2024-03-28,521692,4,2,0,0.103,4.0,2,0
2024-03-28,527038,2,1,0,0.073,2.0,1,0
2024-03-28,541645,2,1,0,0.128,2.0,1,0
2024-03-28,543228,3,1,0,0.07500000000000001,3.0,2,0
2024-03-28,543305,4,2,1,1.1471310000000001,4.0,1,0
2024-03-28,543685,4,2,0,0.32399999999999995,4.0,2,0
2024-03-28,543760,5,2,1,1.9411310000000002,5.0,2,0
2024-03-28,543807,5,0,1,2.4680005652173915,5.0,4,1
2024-03-28,545121,3,0,0,0.576,3.0,3,0
2024-03-28,545361,3,1,0,1.0485294117647057,3.0,2,1
2024-03-28,547989,4,1,1,0.804131,4.0,2,0
2024-03-28,553869,3,1,0,0.699,3.0,2,0
2024-03-28,553993,5,1,0,1.2770000000000001,5.0,4,0
2024-03-28,571448,4,0,0,0.393,4.0,4,0
2024-03-28,571657,4,2,1,1.1451310000000001,4.0,1,0
2024-03-28,571745,4,0,1,2.6839310000000003,4.0,3,1
2024-03-28,571771,1,1,0,0.0,1.0,0,0
2024-03-28,571970,4,2,0,1.082,4.0,2,0
2024-03-28,572138,1,0,0,0.261,1.0,1,0
2024-03-28,572191,5,2,0,1.3199999999999998,5.0,3,0
2024-03-28,572233,5,2,1,2.361908777777778,5.0,2,1
2024-03-28,573262,4,3,0,0.142,4.0,1,0
2024-03-28,575929,4,0,1,0.7061310000000001,4.0,3,0
2024-03-28,592178,3,0,0,1.0891920000000002,3.0,2,0
