holdout_year,model,baseline_brier,model_brier,improvement_vs_baseline,improvement_vs_core
2023,Combined core,0.2082597503768057,0.207092892563862,0.001166857812943678,0.0
2023,Core + Run Factor,0.2082597503768057,0.20733389242409145,0.000925857952714243,-0.00024099986022943498
2023,Core + wOBA Factor,0.2082597503768057,0.2073541432358732,0.0009056071409324906,-0.00026125067201118735
2023,Core + HR Factor,0.2082597503768057,0.20709105076936316,0.001168699607442536,1.8417944988580182e-06
2023,Core + Run + wOBA,0.2082597503768057,0.20736139126332978,0.0008983591134759106,-0.0002684986994677674
2023,Core + all park factors,0.2082597503768057,0.2070836988639905,0.0011760515128151905,9.193699871512528e-06
2024,Combined core,0.19941795763419712,0.1991225940785243,0.00029536355567280626,0.0
2024,Core + Run Factor,0.19941795763419712,0.19923594425349223,0.00018201338070489292,-0.00011335017496791333
2024,Core + wOBA Factor,0.19941795763419712,0.1992408373332952,0.00017712030090191733,-0.00011824325477088893
2024,Core + HR Factor,0.19941795763419712,0.19920258273191538,0.00021537490228173972,-7.998865339106653e-05
2024,Core + Run + wOBA,0.19941795763419712,0.19925589688501869,0.00016206074917843316,-0.0001333028064943731
2024,Core + all park factors,0.19941795763419712,0.19994019102900043,-0.000522233394803312,-0.0008175969504761182
2025,Combined core,0.20809640549713926,0.20758828345447602,0.0005081220426632338,0.0
2025,Core + Run Factor,0.20809640549713926,0.20730892492704583,0.000787480570093424,0.0002793585274301902
2025,Core + wOBA Factor,0.20809640549713926,0.2073075803311745,0.0007888251659647627,0.0002807031233015289
2025,Core + HR Factor,0.20809640549713926,0.20753458410555983,0.0005618213915794257,5.369934891619188e-05
2025,Core + Run + wOBA,0.20809640549713926,0.20733608282825694,0.0007603226688823184,0.00025220062621908457
2025,Core + all park factors,0.20809640549713926,0.2079409900558836,0.00015541544125566298,-0.0003527066014075708
2026,Combined core,0.20647322892678152,0.20509927481425932,0.0013739541125221966,0.0
2026,Core + Run Factor,0.20647322892678152,0.20487704375519297,0.0015961851715885489,0.00022223105906635232
2026,Core + wOBA Factor,0.20647322892678152,0.20488528107502274,0.0015879478517587808,0.00021399373923658427
2026,Core + HR Factor,0.20647322892678152,0.20504263949709645,0.0014305894296850752,5.663531716287862e-05
2026,Core + Run + wOBA,0.20647322892678152,0.20488862380364617,0.001584605123135352,0.0002106510106131554
2026,Core + all park factors,0.20647322892678152,0.20484903117823608,0.0016241977485454417,0.0002502436360232452
