game_date,batter,pa,strikeouts,walks,xwoba_num,xwoba_denom,bbe,barrels
2023-03-30,605141,5,3,1,0.698903,5.0,1,0
2023-03-30,605204,2,2,0,0.0,2.0,0,0
2023-03-30,605612,5,2,0,1.1099999999999999,5.0,3,0
2023-03-30,606115,5,1,1,1.667903,5.0,3,0
2023-03-30,606132,1,0,1,0.695903,1.0,0,0
2023-03-30,606192,4,2,0,0.28900000000000003,4.0,2,0
2023-03-30,606466,4,0,0,1.8480050000000001,4.0,3,0
2023-03-30,606992,4,0,0,0.365,4.0,4,0
2023-03-30,607043,5,0,1,2.737903,5.0,4,0
2023-03-30,607054,3,1,0,0.9189473684210527,3.0,2,0
2023-03-30,607208,5,1,1,0.13,4.0,3,0
2023-03-30,607461,1,1,0,0.0,1.0,0,0
2023-03-30,607732,3,2,0,0.8554761904761905,3.0,1,1
2023-03-30,608070,4,1,0,1.2229999999999999,4.0,3,0
2023-03-30,608324,4,2,0,0.26,4.0,2,0
2023-03-30,608336,2,1,0,0.208,2.0,1,0
2023-03-30,608369,5,0,2,2.4608060000000003,5.0,3,0
2023-03-30,608385,4,3,0,0.332,4.0,1,0
2023-03-30,608841,5,0,0,2.6470000000000002,5.0,5,0
2023-03-30,613564,4,1,0,0.608,4.0,3,0
2023-03-30,614177,4,3,0,0.079,4.0,1,0
2023-03-30,621020,4,0,0,2.6243437499999995,4.0,4,1
2023-03-30,621043,5,0,0,1.9844761904761905,5.0,5,1
2023-03-30,621311,4,2,0,0.8201764705882353,4.0,2,0
2023-03-30,621439,5,1,0,1.363,5.0,4,0
2023-03-30,621493,4,1,0,0.724,4.0,3,0
2023-03-30,621550,4,1,1,1.148903,4.0,2,0
2023-03-30,621563,2,0,0,0.14200000000000002,2.0,2,0
2023-03-30,621566,5,2,0,3.196728888888889,5.0,3,2
2023-03-30,622534,3,1,0,0.109,3.0,2,0
2023-03-30,622761,5,0,1,2.2039030000000004,4.0,4,0
2023-03-30,623912,2,1,0,0.003,2.0,1,0
2023-03-30,623993,6,2,0,2.202,6.0,4,0
2023-03-30,624413,5,1,1,0.940903,5.0,3,0
2023-03-30,624414,4,1,0,1.034,4.0,3,0
2023-03-30,624415,1,0,1,0.695903,1.0,0,0
2023-03-30,624424,4,2,0,0.73,3.0,1,0
2023-03-30,624428,5,1,1,2.221903,5.0,3,0
2023-03-30,624431,3,2,0,0.944,3.0,1,0
2023-03-30,624503,2,0,0,0.729,2.0,2,0
2023-03-30,624512,2,0,0,0.42600000000000005,2.0,2,0
2023-03-30,624585,4,1,0,0.862,4.0,3,0
2023-03-30,630105,4,2,0,0.952,4.0,1,0
2023-03-30,640457,4,0,0,1.232,4.0,4,0
2023-03-30,641313,5,0,1,1.998903,5.0,4,0
2023-03-30,641355,4,1,1,0.835903,4.0,2,0
2023-03-30,641487,3,0,1,1.849903,3.0,2,0
2023-03-30,641531,3,2,0,0.064,3.0,1,0
2023-03-30,641584,5,1,1,2.8775696666666666,5.0,3,1
2023-03-30,641680,4,0,0,1.734,4.0,4,0
2023-03-30,641786,4,3,0,0.002,4.0,1,0
2023-03-30,641820,4,1,0,1.652005,4.0,2,0
2023-03-30,641857,5,2,0,0.521,5.0,3,0
2023-03-30,641933,5,1,1,2.5435965483870966,5.0,3,1
2023-03-30,642086,4,0,1,0.923903,4.0,3,0
2023-03-30,642133,4,2,1,1.009903,4.0,1,0
2023-03-30,642350,3,2,0,1.8952727272727272,3.0,1,1
2023-03-30,642708,4,2,0,0.422,4.0,2,0
2023-03-30,642715,4,0,1,2.336903,4.0,3,0
2023-03-30,642731,4,1,0,1.634,4.0,3,0
2023-03-30,643217,4,1,0,1.01,4.0,3,0
2023-03-30,643265,4,2,0,2.0314594594594593,4.0,2,1
2023-03-30,643289,3,0,0,0.6930000000000001,3.0,3,0
2023-03-30,643393,4,1,1,1.2199863333333334,4.0,2,0
2023-03-30,643446,4,0,0,0.966,4.0,4,0
2023-03-30,645277,5,0,0,2.3196315789473685,5.0,5,1
2023-03-30,645302,4,0,2,1.899806,4.0,2,0
2023-03-30,646240,5,2,0,1.516,5.0,3,0
2023-03-30,647304,3,0,0,0.957,3.0,3,0
2023-03-30,649557,4,1,1,2.199903,4.0,2,0
2023-03-30,649966,4,0,0,0.533,4.0,4,0
2023-03-30,650333,4,1,0,1.13,4.0,3,0
2023-03-30,650391,5,2,0,0.531,5.0,3,0
2023-03-30,650402,4,0,1,2.9188216206896556,4.0,3,2
2023-03-30,650490,3,1,1,0.700903,3.0,1,0
2023-03-30,650559,3,2,0,0.011,3.0,1,0
2023-03-30,650859,4,0,1,1.211903,4.0,3,0
2023-03-30,656305,5,1,0,1.06,4.0,3,0
2023-03-30,656541,1,0,1,0.695903,1.0,0,0
2023-03-30,656716,1,0,0,0.054,1.0,1,0
2023-03-30,656775,6,1,2,2.5448060000000003,6.0,3,0
2023-03-30,656941,5,2,0,0.5337000000000001,5.0,3,0
2023-03-30,657041,5,1,0,0.224,5.0,4,0
2023-03-30,657077,5,0,0,2.8071199999999994,5.0,5,1
2023-03-30,657136,2,1,0,0.046,2.0,1,0
2023-03-30,657656,4,3,0,0.345,4.0,1,0
2023-03-30,658668,3,0,0,1.383005,3.0,2,0
2023-03-30,660162,5,3,0,0.7190000000000001,5.0,2,0
2023-03-30,660271,4,2,1,0.457,3.0,1,0
2023-03-30,660670,6,0,0,3.052714285714285,6.0,6,1
2023-03-30,660688,4,0,0,1.068,4.0,4,0
2023-03-30,660707,5,3,0,0.9657586206896557,5.0,2,1
2023-03-30,661388,4,3,0,0.141,4.0,1,0
2023-03-30,662139,6,2,0,1.91,6.0,4,0
2023-03-30,663457,6,1,2,2.1378060000000003,6.0,3,0
2023-03-30,663538,4,0,0,0.524,4.0,4,0
2023-03-30,663586,5,1,3,2.334709,5.0,1,0
2023-03-30,663616,5,2,1,2.2089030000000003,5.0,2,0
2023-03-30,663624,6,0,2,2.4928060000000003,6.0,4,0
2023-03-30,663647,4,2,0,0.9970000000000001,4.0,2,0
2023-03-30,663656,4,1,2,2.0042605454545455,4.0,1,0
2023-03-30,663697,5,1,1,2.2259029999999997,5.0,3,0
2023-03-30,663728,4,0,0,0.47900000000000004,4.0,4,0
2023-03-30,663757,4,1,0,1.419,4.0,3,1
2023-03-30,663837,3,1,0,0.216,3.0,2,0
2023-03-30,663853,2,0,0,1.196,2.0,2,0
2023-03-30,663886,4,1,0,0.16,4.0,3,0
2023-03-30,663993,4,0,1,1.085903,4.0,3,0
